Country,Area,Birth rate, Current account balance ,Death rate,Electricity consumption, Electricity production , Exports , GDP , GDP per capita ,GDP real growth rate, Highways , Imports ,Industrial production growth rate,Infant mortality rate,Inflation rate ,Internet users,Investment,Labor force,Life expectancy at birth,Military expenditures,Natural gas consumption,Oil consumption,Population,Public debt,Railways,Reserves of foreign exchange & gold,Total fertility rate,Unemployment rate
Bosnia and Herzegovina,"51,129",12.49," $(2,100,000,000.00)",8.44,"8,318,000,000"," 10,040,000,000.00 "," $1,700,000,000.00 "," $26,210,000,000.00 "," $6,500.00 ",5," 21,846 "," $5,200,000,000.00 ",5.50,21.05,1.10,100000.00,0.00,1026000.00,72.85,4.50,300000000.00,20000.00,4025476.00,0.00,1021.00,2000000000.00,1.71,44.00
Zimbabwe,"390,580",29.74," $(230,300,000.00)",24.66,"11,220,000,000"," 8,839,000,000.00 "," $1,409,000,000.00 "," $24,370,000,000.00 "," $1,900.00 ",-8.2," 18,338 "," $1,599,000,000.00 ",-7.80,67.69,133.00,500000.00,9.90,4230000.00,36.67,4.30,0.00,23000.00,12746990.00,52.30,3077.00,57000000.00,3.54,70.00
Greece,"131,940",9.72," $(8,000,000,000.00)",10.15,"47,420,000,000"," 47,220,000,000.00 "," $15,500,000,000.00 "," $226,400,000,000.00 "," $21,300.00 ",3.7," 117,000 "," $54,280,000,000.00 ",4.10,5.53,2.90,1718400.00,27.00,4400000.00,79.09,4.30,2021000000.00,405700.00,10668354.00,112.00,2571.00,7300000000.00,1.33,10.00
China,"9,596,960",13.14," $30,320,000,000.00 ",6.94,"1,630,000,000,000"," 1,910,000,000,000.00 "," $583,100,000,000.00 "," $7,262,000,000,000.00 "," $5,600.00 ",9.1," 1,765,222 "," $552,400,000,000.00 ",17.10,24.18,4.10,94000000.00,46.00,760800000.00,72.27,4.30,29180000000.00,4956000.00,1306313812.00,31.40,70058.00,609900000000.00,1.72,9.80
Tajikistan,"143,100",32.58," $(52,000,000.00)",8.39,"14,410,000,000"," 15,080,000,000.00 "," $1,130,000,000.00 "," $7,950,000,000.00 "," $1,100.00 ",10.5," 27,767 "," $1,300,000,000.00 ",8.20,110.76,8.00,4100.00,22.00,3187000.00,64.56,3.90,1300000000.00,20000.00,7163506.00,0.00,482.00,145300000.00,4.05,40.00
Libya,"1,759,540",26.82," $9,895,000,000.00 ",3.48,"19,430,000,000"," 20,890,000,000.00 "," $18,650,000,000.00 "," $37,480,000,000.00 "," $6,700.00 ",4.9," 83,200 "," $7,224,000,000.00 ",0.00,24.60,2.90,160000.00,9.90,1590000.00,76.50,3.90,5410000000.00,216000.00,5765563.00,8.80,0.00,24180000000.00,3.34,30.00
Botswana,"600,370",23.33," $337,000,000.00 ",29.36,"1,890,000,000"," 930,000,000.00 "," $2,940,000,000.00 "," $15,050,000,000.00 "," $9,200.00 ",3.5," 10,217 "," $2,255,000,000.00 ",4.40,54.58,7.00,60000.00,25.50,264000.00,33.87,3.90,0.00,16000.00,1640115.00,8.60,888.00,5700000000.00,2.85,23.80
Chile,"756,950",15.44," $2,185,000,000.00 ",5.76,"41,800,000,000"," 48,600,000,000.00 "," $29,200,000,000.00 "," $169,100,000,000.00 "," $10,700.00 ",5.8," 79,605 "," $22,530,000,000.00 ",7.80,8.80,2.40,3575000.00,23.90,6200000.00,76.58,3.80,6517000000.00,240000.00,15980912.00,12.80,6585.00,16020000000.00,2.02,8.50
Cyprus,"9,250",12.57," $(619,900,000.00)",7.64,"602,000,000"," 4,000,000,000.00 "," $49,300,000.00 "," $4,540,000,000.00 "," $7,135.00 ",2.6," 13,943 "," $415,200,000.00 ",-0.30,7.18,2.40,210000.00,17.90,95025.00,77.65,3.80,0.00,49000.00,780133.00,74.90,0.00,941600000.00,1.83,3.20
Turkmenistan,"488,100",27.68," $114,000,000.00 ",8.78,"8,908,000,000"," 11,410,000,000.00 "," $4,000,000,000.00 "," $27,600,000,000.00 "," $5,700.00 ",7.5," 24,000 "," $2,850,000,000.00 ",22.00,73.08,9.00,8000.00,29.00,2320000.00,61.39,3.40,9600000000.00,63000.00,4952081.00,0.00,2440.00,3034000000.00,3.41,60.00
Colombia,"1,138,910",20.82," $(1,706,000,000.00)",5.59,"41,140,000,000"," 44,870,000,000.00 "," $15,500,000,000.00 "," $281,100,000,000.00 "," $6,600.00 ",3.6," 112,998 "," $15,340,000,000.00 ",4.00,20.97,5.90,2732200.00,15.80,20700000.00,71.72,3.40,5700000000.00,252000.00,42954279.00,51.80,3304.00,11940000000.00,2.56,13.60
Egypt,"1,001,450",23.32," $2,113,000,000.00 ",5.26,"75,580,000,000"," 81,270,000,000.00 "," $11,000,000,000.00 "," $316,300,000,000.00 "," $4,200.00 ",4.5," 64,000 "," $19,210,000,000.00 ",2.50,32.59,9.50,2700000.00,15.80,20710000.00,71.00,3.40,21200000000.00,562000.00,77505756.00,102.70,5063.00,14030000000.00,2.88,10.90
Iran,"1,648,000",16.83," $2,100,000,000.00 ",5.55,"119,900,000,000"," 129,000,000,000.00 "," $38,790,000,000.00 "," $516,700,000,000.00 "," $7,700.00 ",6.3," 167,157 "," $31,300,000,000.00 ",3.50,41.58,15.50,4300000.00,31.30,23000000.00,69.96,3.30,72400000000.00,1400000.00,68017860.00,27.00,7203.00,29870000000.00,1.82,11.20
United States,"9,631,418",14.14," $(646,500,000,000.00)",8.25,"3,660,000,000,000"," 3,839,000,000,000.00 "," $795,000,000,000.00 "," $11,750,000,000,000.00 "," $40,100.00 ",4.4," 6,393,603 "," $1,476,000,000,000.00 ",4.40,6.50,2.50,159000000.00,15.70,147400000.00,77.71,3.30,640900000000.00,19650000.00,295734134.00,65.00,228464.00,85940000000.00,2.08,5.50
Rwanda,"26,338",40.6," $(212,500,000.00)",16.32,"195,000,000"," 166,700,000.00 "," $69,780,000.00 "," $10,430,000,000.00 "," $1,300.00 ",0.9," 12,000 "," $260,000,000.00 ",7.00,91.23,7.00,25000.00,20.00,4600000.00,46.96,3.20,0.00,5300.00,8440820.00,0.00,0.00,210900000.00,5.49,0.00
Algeria,"2,381,740",17.13," $11,900,000,000.00 ",4.6,"23,610,000,000"," 25,760,000,000.00 "," $32,160,000,000.00 "," $212,300,000,000.00 "," $6,600.00 ",6.1," 104,000 "," $15,250,000,000.00 ",6.00,31.00,3.10,500000.00,26.20,9910000.00,73.00,3.20,22320000000.00,209000.00,32531853.00,37.40,3973.00,43550000000.00,1.92,25.40
Namibia,"825,418",25.16," $234,300,000.00 ",18.36,"1,920,000,000"," 1,167,000,000.00 "," $1,356,000,000.00 "," $14,760,000,000.00 "," $7,300.00 ",4.8," 42,237 "," $1,473,000,000.00 ",0.00,48.98,4.20,65000.00,19.60,840000.00,43.93,3.10,0.00,13000.00,2030692.00,38.50,2382.00,360000000.00,3.18,35.00
Lebanon,"10,400",18.88," $(2,389,000,000.00)",6.24,"8,591,000,000"," 8,066,000,000.00 "," $1,783,000,000.00 "," $18,830,000,000.00 "," $5,000.00 ",4," 7,300 "," $8,162,000,000.00 ",0.00,24.52,2.00,400000.00,26.00,2600000.00,72.63,3.10,0.00,107000.00,3826018.00,177.90,401.00,16300000000.00,1.92,18.00
United Arab Emirates,"82,880",18.78," $6,300,000,000.00 ",4.26,"36,510,000,000"," 45,120,000,000.00 "," $69,480,000,000.00 "," $63,670,000,000.00 "," $25,200.00 ",5.7," 1,088 "," $45,660,000,000.00 ",4.00,14.51,3.20,1110200.00,20.80,2360000.00,75.24,3.10,33700000000.00,310000.00,2563212.00,17.60,0.00,18640000000.00,2.94,2.40
Sudan,"2,505,810",35.17," $(763,600,000.00)",9.16,"2,400,000,000"," 2,581,000,000.00 "," $3,395,000,000.00 "," $76,190,000,000.00 "," $1,900.00 ",6.4," 11,900 "," $3,496,000,000.00 ",8.50,62.50,9.00,300000.00,16.00,11000000.00,58.54,3.00,0.00,70000.00,40187486.00,79.70,5995.00,1652000000.00,4.85,18.70
Indonesia,"1,919,440",20.71," $7,338,000,000.00 ",6.25,"92,350,000,000"," 110,200,000,000.00 "," $69,860,000,000.00 "," $827,400,000,000.00 "," $3,500.00 ",4.9," 342,700 "," $45,070,000,000.00 ",10.50,35.60,6.10,8000000.00,16.60,111500000.00,69.57,3.00,55300000000.00,1183000.00,241973879.00,56.20,6458.00,35820000000.00,2.44,9.20
Cambodia,"181,040",27.08," $(316,200,000.00)",8.97,"100,600,000"," 122,000,000.00 "," $2,311,000,000.00 "," $26,990,000,000.00 "," $2,000.00 ",5.4," 12,323 "," $3,129,000,000.00 ",22.00,71.48,3.10,30000.00,20.90,7000000.00,58.87,3.00,0.00,7200.00,13607069.00,0.00,602.00,997500000.00,3.44,2.50
Congo Republic of the,"342,000",27.88," $266,000,000.00 ",14.82,"573,600,000"," 348,000,000.00 "," $2,224,000,000.00 "," $2,324,000,000.00 ", $800.00 ,3.7," 12,800 "," $749,300,000.00 ",0.00,92.41,1.80,15000.00,25.80,0.00,48.97,2.80,0.00,5000.00,3039126.00,0.00,894.00,40420000.00,3.54,0.00
Korea South,"98,480",10.08," $26,780,000,000.00 ",6.26,"293,600,000,000"," 322,500,000,000.00 "," $250,600,000,000.00 "," $925,100,000,000.00 "," $19,200.00 ",4.6," 86,990 "," $214,200,000,000.00 ",10.10,7.05,3.60,29220000.00,28.70,22900000.00,75.82,2.80,20920000000.00,2070000.00,48422644.00,21.30,3125.00,199100000000.00,1.26,3.60
Australia,"7,686,850",12.26," $(38,300,000,000.00)",7.44,"195,600,000,000"," 210,300,000,000.00 "," $86,890,000,000.00 "," $611,700,000,000.00 "," $30,700.00 ",3.5," 811,603 "," $98,100,000,000.00 ",1.90,4.69,2.30,9472000.00,25.30,10350000.00,80.39,2.70,23330000000.00,796500.00,20090437.00,17.40,43802.00,35140000000.00,1.76,5.10
Bulgaria,"110,910",9.66," $682,900,000.00 ",14.26,"32,710,000,000"," 43,070,000,000.00 "," $9,134,000,000.00 "," $61,630,000,000.00 "," $8,200.00 ",5.3," 37,077 "," $12,230,000,000.00 ",5.20,20.55,6.10,630000.00,18.60,3398000.00,72.03,2.60,5804000000.00,94000.00,7450349.00,41.90,4294.00,7526000000.00,1.38,12.70
France,"547,030",12.15," $(305,000,000.00)",9.08,"414,700,000,000"," 528,600,000,000.00 "," $419,000,000,000.00 "," $1,737,000,000,000.00 "," $28,700.00 ",2.1," 893,100 "," $419,700,000,000.00 ",1.70,4.26,2.30,21900000.00,19.20,27700000.00,79.60,2.60,42010000000.00,2026000.00,60656178.00,67.70,32175.00,70760000000.00,1.85,10.10
Sri Lanka,"65,610",15.63," $(587,300,000.00)",6.49,"6,228,000,000"," 6,697,000,000.00 "," $5,306,000,000.00 "," $80,580,000,000.00 "," $4,000.00 ",5.2," 11,650 "," $7,265,000,000.00 ",7.10,14.35,5.80,200000.00,22.40,7260000.00,73.17,2.60,0.00,75000.00,20064776.00,104.30,1449.00,2475000000.00,1.85,7.80
Taiwan,"35,980",12.64," $21,160,000,000.00 ",6.38,"147,400,000,000"," 158,500,000,000.00 "," $170,500,000,000.00 "," $576,200,000,000.00 "," $25,300.00 ",6," 37,299 "," $165,400,000,000.00 ",12.20,6.40,1.70,13800000.00,18.00,10220000.00,77.26,2.60,6640000000.00,988000.00,22894384.00,32.40,2508.00,246500000000.00,1.57,4.50
Azerbaijan,"86,600",20.4," $(2,899,000,000.00)",9.86,"17,370,000,000"," 17,550,000,000.00 "," $3,168,000,000.00 "," $30,010,000,000.00 "," $3,800.00 ",9.8," 28,030 "," $3,622,000,000.00 ",4.00,81.74,4.60,300000.00,65.10,5090000.00,63.35,2.60,6720000000.00,140000.00,7911974.00,18.90,2957.00,875000000.00,2.44,1.20
Equatorial Guinea,"28,051",36.18," $(578,600,000.00)",12,"24,820,000"," 26,690,000.00 "," $2,771,000,000.00 "," $1,270,000,000.00 "," $2,700.00 ",20," 2,880 "," $1,167,000,000.00 ",30.00,85.13,8.50,1800.00,50.80,0.00,55.56,2.50,20000000.00,2000.00,535881.00,0.00,0.00,235200000.00,4.62,30.00
India,"3,287,590",22.32," $4,897,000,000.00 ",8.28,"510,100,000,000"," 547,200,000,000.00 "," $69,180,000,000.00 "," $3,319,000,000,000.00 "," $3,100.00 ",6.2," 2,525,989 "," $89,330,000,000.00 ",7.40,56.29,4.20,18481000.00,23.80,482200000.00,64.35,2.50,22750000000.00,2130000.00,1080264388.00,59.70,63140.00,126000000000.00,2.78,9.20
Vietnam,"329,560",17.07," $(2,061,000,000.00)",6.2,"32,060,000,000"," 34,480,000,000.00 "," $23,720,000,000.00 "," $227,200,000,000.00 "," $2,700.00 ",7.7," 93,300 "," $26,310,000,000.00 ",16.00,25.95,9.50,3500000.00,36.60,42980000.00,70.61,2.50,1300000000.00,185000.00,83535576.00,65.90,2600.00,6510000000.00,1.94,1.90
Romania,"237,500",10.7," $(3,631,000,000.00)",11.74,"57,500,000,000"," 56,530,000,000.00 "," $23,540,000,000.00 "," $171,500,000,000.00 "," $7,700.00 ",8.1," 198,755 "," $28,430,000,000.00 ",4.00,26.43,9.60,4000000.00,23.30,9660000.00,71.35,2.47,18500000000.00,253800.00,22329977.00,23.60,11385.00,16210000000.00,1.36,6.30
Benin,"112,620",41.99," $(159,900,000.00)",13.76,"565,200,000"," 285,200,000.00 "," $720,900,000.00 "," $8,338,000,000.00 "," $1,200.00 ",5," 6,787 "," $934,500,000.00 ",8.30,85.00,2.80,70000.00,19.30,0.00,50.51,2.40,0.00,11500.00,7460025.00,0.00,578.00,839300000.00,5.86,0.00
United Kingdom,"244,820",10.78," $(33,460,000,000.00)",10.18,"337,400,000,000"," 395,900,000,000.00 "," $347,200,000,000.00 "," $1,782,000,000,000.00 "," $29,600.00 ",3.2," 392,931 "," $439,400,000,000.00 ",0.90,5.16,1.40,25000000.00,16.20,29780000.00,78.38,2.40,92850000000.00,1692000.00,60441457.00,39.60,17186.00,48730000000.00,1.66,4.80
Croatia,"56,542",9.57," $(1,925,000,000.00)",11.38,"15,200,000,000"," 12,510,000,000.00 "," $7,845,000,000.00 "," $50,330,000,000.00 "," $11,200.00 ",3.7," 28,344 "," $16,700,000,000.00 ",2.70,6.84,2.50,1014000.00,28.60,1710000.00,74.45,2.39,2840000000.00,89000.00,4495904.00,41.70,2726.00,8563000000.00,1.39,13.80
Lesotho,"30,355",26.53," $(108,300,000.00)",25.03,"308,000,000"," 314,000,000.00 "," $484,500,000.00 "," $5,892,000,000.00 "," $3,200.00 ",3.3," 5,940 "," $730,900,000.00 ",15.50,84.23,5.30,21000.00,39.60,838000.00,36.68,2.30,0.00,1500.00,1867035.00,0.00,0.00,402200000.00,3.35,45.00
Portugal,"92,391",10.82," $(8,120,000,000.00)",10.43,"42,150,000,000"," 43,280,000,000.00 "," $37,680,000,000.00 "," $188,700,000,000.00 "," $17,900.00 ",1.1," 17,135 "," $52,100,000,000.00 ",1.10,5.05,2.10,3600000.00,22.30,5480000.00,77.53,2.30,2542000000.00,339800.00,10566212.00,61.50,2850.00,12300000000.00,1.47,6.50
Uganda,"236,040",47.39," $(590,800,000.00)",12.8,"1,401,000,000"," 1,775,000,000.00 "," $621,700,000.00 "," $39,390,000,000.00 "," $1,500.00 ",5," 27,000 "," $1,306,000,000.00 ",5.60,67.83,3.50,125000.00,22.40,12410000.00,51.59,2.20,0.00,8750.00,27269482.00,73.90,1241.00,1200000000.00,6.74,0.00
Mozambique,"801,590",35.79," $(101,200,000.00)",20.99,"5,046,000,000"," 8,859,000,000.00 "," $689,400,000.00 "," $23,380,000,000.00 "," $1,200.00 ",8.2," 30,400 "," $972,900,000.00 ",3.40,130.79,12.80,50000.00,47.00,9200000.00,40.32,2.20,60000000.00,8500.00,19406703.00,0.00,3123.00,1206000000.00,4.70,21.00
Ecuador,"283,560",22.67," $261,100,000.00 ",4.24,"75,580,000,000"," 81,270,000,000.00 "," $7,560,000,000.00 "," $49,510,000,000.00 "," $3,700.00 ",5.8," 43,197 "," $7,650,000,000.00 ",10.00,23.66,2.00,569700.00,20.60,4530000.00,76.21,2.20,160000000.00,129000.00,13363593.00,49.20,966.00,1436000000.00,2.72,11.10
Chad,"1,284,000",45.98," $330,200,000.00 ",16.41,"89,400,000"," 96,130,000.00 "," $365,000,000.00 "," $15,660,000,000.00 "," $1,600.00 ",38," 33,400 "," $500,700,000.00 ",5.00,93.82,8.00,15000.00,24.70,0.00,47.94,2.10,0.00,1500.00,9826419.00,0.00,0.00,652700000.00,6.32,0.00
Burma,"678,500",18.11," $(185,000,000.00)",12.15,"3,484,000,000"," 5,068,000,000.00 "," $2,137,000,000.00 "," $74,300,000,000.00 "," $1,700.00 ",-1.3," 28,200 "," $1,754,000,000.00 ",0.00,67.24,17.20,28000.00,10.20,27010000.00,56.22,2.10,1569000000.00,60950.00,42909464.00,0.00,3955.00,590000000.00,2.01,5.20
Malaysia,"329,750",23.07," $11,810,000,000.00 ",5.06,"68,400,000,000"," 75,330,000,000.00 "," $123,500,000,000.00 "," $229,300,000,000.00 "," $9,700.00 ",7.1," 65,877 "," $99,300,000,000.00 ",10.20,17.70,1.30,8692100.00,21.70,10490000.00,72.24,2.03,31250000000.00,460000.00,23953136.00,45.40,2418.00,55270000000.00,3.07,3.00
Czech Republic,"78,866",9.07," $(5,730,000,000.00)",10.54,"55,330,000,000"," 71,750,000,000.00 "," $66,510,000,000.00 "," $172,200,000,000.00 "," $16,800.00 ",3.7," 127,204 "," $68,190,000,000.00 ",4.70,3.93,3.20,2700000.00,29.00,5250000.00,76.02,2.02,9892000000.00,175700.00,10241138.00,33.50,9520.00,32780000000.00,1.20,10.60
Gabon,"267,667",36.24," $196,800,000.00 ",11.72,"1,080,000,000"," 1,161,000,000.00 "," $3,710,000,000.00 "," $7,966,000,000.00 "," $5,900.00 ",1.9," 8,464 "," $1,225,000,000.00 ",1.60,53.64,1.50,35000.00,21.80,650000.00,55.75,2.00,80000000.00,13000.00,1389201.00,29.30,814.00,268600000.00,4.77,21.00
Uruguay,"176,220",14.09," $181,800,000.00 ",9.06,"5,878,000,000"," 8,536,000,000.00 "," $2,200,000,000.00 "," $49,270,000,000.00 "," $14,500.00 ",10.2," 8,983 "," $2,071,000,000.00 ",22.00,11.95,7.60,400000.00,9.60,1560000.00,76.13,2.00,64500000.00,41500.00,3415920.00,0.00,2073.00,2362000000.00,1.91,13.00
